"ID","Personaje","Rareza","Tipos","Aprendizaje por nivel","Definitiva al nivel 35","Pasiva","PS / ATQ / DEF / EATQ / EDEF / VEL"
"tilestone","Tilestone","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"kokoro","Kokoro","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"chimney","Chimney","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"gonbe","Gonbe","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"zambai","Zambai","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"kiwi","Kiwi","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"mozu","Mozu","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"tom","Tom","3","Golpe / Agua","1: Golpe básico | 10: Onda marina | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"yokozuna","Yokozuna","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"oimo","Oimo","2","Golpe / Tierra","1: Golpe básico | 10: Impacto sísmico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"kashi","Kashi","2","Corte / Tierra","1: Corte básico | 10: Impacto sísmico | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"tbone","T-Bone","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"wanze","Wanze","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"nero","Nero","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"blueno","Blueno","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"kaku","Kaku","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"kalifa","Kalifa","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"jabra","Jabra","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"kumadori","Kumadori","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"fukuro","Fukuro","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"spandam","Spandam","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"lola","Lola","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"cindry","Victoria Cindry","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"kumashi","Kumashi","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"risky","Risky Brothers","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"hildon","Hildon","1","Oscuridad","1: Golpe bajo | 10: Presión sombría | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","15 / 7 / 7 / 9 / 8 / 7"
"tararan","Tararan","2","Veneno","1: Púa venenosa | 10: Gas tóxico | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"perona","Perona","3","Oscuridad / Fruta","1: Golpe bajo | 10: Dominio de Fruta | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"absalom","Absalom","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"hogback","Dr. Hogback","2","Veneno","1: Púa venenosa | 10: Gas tóxico | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"ryuma","Ryuma","4","Corte / Oscuridad","1: Corte básico | 10: Presión sombría | 20: Corte certero","Corte certero","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"oars","Oars","4","Golpe / Tierra","1: Golpe básico | 10: Impacto sísmico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","28 / 14 / 11 / 12 / 10 / 12"
"moria","Gecko Moria","5","Oscuridad / Fruta","1: Golpe bajo | 10: Dominio de Fruta | 20: Asalto sombrío","Asalto sombrío","Drena un 3% de los PS del rival activo por ronda. El Clímax reduce la curación.","35 / 16 / 13 / 18 / 14 / 13"
"sandersonia","Boa Sandersonia","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"marigold","Boa Marigold","3","Fruta / Veneno","1: Técnica de Fruta | 10: Gas tóxico | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"gloriosa","Gloriosa","2","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"marguerite","Marguerite","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"dadan","Curly Dadan","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"dogra","Dogra","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"magra","Magra","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"rouge","Portgas D. Rouge","2","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"ivankov","Emporio Ivankov","4","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","28 / 14 / 11 / 12 / 10 / 12"
"inazuma","Inazuma","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"jozu","Jozu","4","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","28 / 14 / 11 / 12 / 10 / 12"
"vista","Vista","4","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","29 / 15 / 11 / 13 / 10 / 12"
"thatch","Thatch","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"izo","Izo","3","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"haruta","Haruta","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"atmos","Atmos","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"fossa","Fossa","2","Corte / Fuego","1: Corte básico | 10: Ráfaga ígnea | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"curiel","Curiel","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"namur","Namur","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"blenheim","Blenheim","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"rakuyo","Rakuyo","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"blamenco","Blamenco","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"kingdew","Kingdew","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"speedjiru","Speed Jiru","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"squard","Squard","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"whiteybay","Whitey Bay","2","Hielo","1: Golpe helado | 10: Ráfaga helada | 20: Ventisca","Ventisca","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"oarsjr","Little Oars Jr.","3","Golpe / Tierra","1: Golpe básico | 10: Impacto sísmico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"tsuru","Tsuru","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"stronger","Stronger","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"magellan","Magellan","4","Veneno / Fruta","1: Púa venenosa | 10: Dominio de Fruta | 20: Nube venenosa","Nube venenosa","+25% de daño de Veneno.","29 / 14 / 11 / 16 / 12 / 12"
"hannyabal","Hannyabal","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"sadie","Sadie","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"saldeath","Saldeath","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"domino","Domino","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"minotauros","Minotauros","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"momonga","Momonga","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"onigumo","Onigumo","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"doberman","Doberman","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"johngiant","John Giant","3","Corte / Tierra","1: Corte básico | 10: Impacto sísmico | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"strawberry","Strawberry","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"yamakaji","Yamakaji","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"sengoku","Sengoku","5","Haki / Fruta","1: Armadura | 10: Dominio de Fruta | 20: Haki concentrado","Haki concentrado","+20% de defensa física y especial.","34 / 15 / 13 / 17 / 14 / 13"
"burgess","Jesus Burgess","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"shiryu","Shiryu","4","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","27 / 14 / 11 / 12 / 10 / 11"
"vanaugur","Van Augur","3","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"lafitte","Laffitte","3","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"devon","Catarina Devon","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"sanjuanwolf","Sanjuan Wolf","4","Tierra","1: Rocazo | 10: Impacto sísmico | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","29 / 14 / 11 / 16 / 12 / 12"
"pizarro","Avalo Pizarro","3","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"vascoshot","Vasco Shot","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"docq","Doc Q","3","Veneno","1: Púa venenosa | 10: Gas tóxico | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"neptune","Neptune","3","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"shirahoshi","Shirahoshi","3","Agua / Haki","1: Chorro de agua | 10: Impacto de Haki | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"fukaboshi","Fukaboshi","3","Agua / Corte","1: Chorro de agua | 10: Corte doble | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"ryuboshi","Ryuboshi","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"manboshi","Manboshi","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"otohime","Otohime","2","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"camie","Camie","1","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","17 / 8 / 7 / 10 / 8 / 8"
"pappag","Pappag","1","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","15 / 7 / 7 / 9 / 8 / 7"
"shyarly","Shyarly","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"den","Den","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"aladine","Aladine","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"praline","Praline","2","Agua","1: Chorro de agua | 10: Onda marina | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"fishertiger","Fisher Tiger","4","Agua / Golpe","1: Chorro de agua | 10: Golpe frontal | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","29 / 14 / 11 / 16 / 12 / 12"
"hammond","Hammond","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"hyouzou","Hyouzou","2","Corte / Veneno","1: Corte básico | 10: Gas tóxico | 20: Corte certero","Corte certero","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"dosun","Dosun","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"zeo","Zeo","2","Oscuridad","1: Golpe bajo | 10: Presión sombría | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"daruma","Daruma","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"ikaros","Ikaros Much","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"decken","Vander Decken IX","3","Disparo / Fruta","1: Disparo | 10: Dominio de Fruta | 20: Artillería","Artillería","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"wadatsumi","Wadatsumi","3","Golpe / Tierra","1: Golpe básico | 10: Impacto sísmico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"hody","Hody Jones","4","Agua / Golpe","1: Chorro de agua | 10: Golpe frontal | 20: Torpedo acuático","Torpedo acuático","Sin pasiva individual","28 / 13 / 11 / 15 / 12 / 12"
"koala","Koala","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"hack","Hack","2","Golpe / Agua","1: Golpe básico | 10: Onda marina | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"brownbeard","Brownbeard","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"mocha","Mocha","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"baby5","Baby 5","3","Disparo / Fruta","1: Disparo | 10: Dominio de Fruta | 20: Artillería","Artillería","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"viola","Viola","2","Haki / Fruta","1: Armadura | 10: Dominio de Fruta | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"kyros","Kyros","4","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","+15% de daño físico.","29 / 15 / 11 / 13 / 10 / 12"
"rebecca","Rebecca","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"rikudold","Riku Dold III","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"scarlett","Scarlett","1","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","17 / 8 / 7 / 10 / 8 / 8"
"elizabello","Elizabello II","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"dagama","Dagama","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"tanklepanto","Tank Lepanto","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"cavendish","Cavendish","4","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","+25% de velocidad con menos del 50% de PS.","27 / 14 / 11 / 12 / 10 / 11"
"suleiman","Suleiman","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"bartolomeo","Bartolomeo","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"gambia","Gambia","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"sai","Sai","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"boo","Boo","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"chinjao","Chinjao","3","Golpe / Haki","1: Golpe básico | 10: Impacto de Haki | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"ideo","Ideo","2","Golpe / Fuego","1: Golpe básico | 10: Ráfaga ígnea | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"bluegilly","Blue Gilly","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"abdullah","Abdullah","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"jeet","Jeet","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"leo","Leo","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"mansherry","Mansherry","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"hajrudin","Hajrudin","3","Golpe / Tierra","1: Golpe básico | 10: Impacto sísmico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"orlumbus","Orlumbus","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"columbus","Columbus","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"caesar","Caesar Clown","3","Veneno / Fruta","1: Púa venenosa | 10: Dominio de Fruta | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"monet","Monet","3","Hielo / Fruta","1: Golpe helado | 10: Dominio de Fruta | 20: Ventisca","Ventisca","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"vergo","Vergo","3","Golpe / Haki","1: Golpe básico | 10: Impacto de Haki | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"sugar","Sugar","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"jora","Jora","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"buffalo","Buffalo","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"trebol","Trebol","3","Fruta / Veneno","1: Técnica de Fruta | 10: Gas tóxico | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"diamante","Diamante","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"pica","Pica","3","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"senorpink","Señor Pink","2","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"laog","Lao G","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"dellinger","Dellinger","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"machvise","Machvise","2","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"gladius","Gladius","2","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"fujitora","Issho (Fujitora)","5","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","Reduce un 20% la velocidad del rival activo.","35 / 16 / 13 / 18 / 14 / 13"
"reiju","Vinsmoke Reiju","3","Veneno / Golpe","1: Púa venenosa | 10: Golpe frontal | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","25 / 12 / 9 / 14 / 10 / 11"
"sora","Vinsmoke Sora","2","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"cosette","Cosette","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
